galContentId,galTitle,galWebImageUrl,galSearchKeyword,processedLocation,galPhotographyLocation
3097750,오연정,http://tong.visitkorea.or.kr/cms2/website/50/3097750.jpg,"오연정, 경상남도 밀양시, 은행나무, 은행잎, 단풍, 가을, 추경, 기와, 서까래, 돌담, 11월 버킷, 11월 추천여행지, 사진기자단, 프레임코리아1기",경상남도 밀양시,경상남도 밀양시 교동
3099258,화천조경철천문대,http://tong.visitkorea.or.kr/cms2/website/58/3099258.jpg,"화천조경철천문대, 강원특별자치도 화천군, 강원도, 천문관, 천체관측, 은하수, 별, 야경, 11월 버킷, 11월 추천여행지, 사진기자단, 프레임코리아1기",강원특별자치도 화천군,강원특별자치도 화천군 사내면
3098332,강천섬,http://tong.visitkorea.or.kr/cms2/website/32/3098332.jpg,"강천섬, 경기도 여주시, 강천섬유원지, 가을, 추경, 가로수길, 11월 추천여행지, 사진기자단, 프레임코리아1기",경기도 여주시,경기도 여주시 강천면
3098203,동쪽송당 동화마을,http://tong.visitkorea.or.kr/cms2/website/03/3098203.JPG,"동쪽송당 동화마을, 제주특별자치도 제주시, 제주도, 자연공원, 11월 추천여행지, 사진기자단, 프레임코리아1기",제주특별자치도 제주시,제주특별자치도 제주시 구좌읍
3097416,고창 선운사,http://tong.visitkorea.or.kr/cms2/website/16/3097416.jpg,"고창 선운사, 전북특별자치도 고창군, 전라북도, 절, 사찰, 종교, 불교, 선운산, 도솔산, 단풍, 가을, 추경, 도솔천, 계곡, 다리, 11월 추천여행지, 사진기자단, 프레임코리아1기",전북특별자치도 고창군,전북특별자치도 고창군 아산면
3100595,서울 문묘와 성균관,http://tong.visitkorea.or.kr/cms2/website/95/3100595.jpg,"서울 문묘와 성균관, 서울특별시 종로구, 사적 제143호, 은행나무, 은행잎, 단풍, 가을, 추경, 드론촬영, 드론사진, 항공촬영, 11월 버킷, 11월 추천여행지, 사진기자단, 프레임코리아1기",서울특별시 종로구,서울특별시 종로구 명륜3가
3097483,마로니에공원,http://tong.visitkorea.or.kr/cms2/website/83/3097483.jpg,"마로니에공원, 서울특별시 종로구, 근린공원, 산책로, 산책길, 걷기여행, 단풍, 가을, 추경, 전경, 11월 버킷, 11월 추천여행지, 사진기자단, 프레임코리아1기",서울특별시 종로구,서울특별시 종로구 동숭동
3098330,남양성모성지,http://tong.visitkorea.or.kr/cms2/website/30/3098330.jpg,"강천섬, 경기도 여주시, 강천섬유원지, 가을, 추경, 가로수길, 11월 추천여행지, 사진기자단, 프레임코리아1기",경기도 여주시,경기도 여주시 강천면
3099331,평화의 댐,http://tong.visitkorea.or.kr/cms2/website/31/3099331.jpg,"평화의 댐, 강원특별자치도 화천군, 강원도, 11월 버킷, 11월 추천여행지, 사진기자단, 프레임코리아1기",강원특별자치도 화천군,강원특별자치도 화천군 화천읍
3068005,밀양읍성,http://tong.visitkorea.or.kr/cms2/website/05/3068005.JPG,"밀양읍성, 경상남도 밀양시, 성곽, 전경, 드론촬영, 드론사진, 항공촬영",경상남도 밀양시,경상남도 밀양시 내일동
3066885,밀양 영남루,http://tong.visitkorea.or.kr/cms2/website/85/3066885.jpg,"밀양 영남루, 경상남도 밀양시, 누각, 보물 제147호, 밀양8경, 밀양강, 밀양교, 전경, 드론촬영, 드론사진, 항공촬영, 파노라마",경상남도 밀양시,경상남도 밀양시 내일동
3067122,만어사,http://tong.visitkorea.or.kr/cms2/website/22/3067122.JPG,"만어사, 경상남도 밀양시, 절, 사찰, 종교, 불교, 밀양 만어산 암괴류, 천연기념물 제528호, 드론촬영, 드론사진, 항공촬영",경상남도 밀양시,경상남도 밀양시 삼랑진읍
3067007,밀양 관아지,http://tong.visitkorea.or.kr/cms2/website/07/3067007.JPG,"밀양 관아지, 경상남도 밀양시, 문화재",경상남도 밀양시,경상남도 밀양시 내일동
3067710,밀양 트윈터널,http://tong.visitkorea.or.kr/cms2/website/10/3067710.JPG,"밀양 트윈터널, 경상남도 밀양시, 테마공원, 조명",경상남도 밀양시,경상남도 밀양시 삼랑진읍
3067405,달빛쌈지공원,http://tong.visitkorea.or.kr/cms2/website/05/3067405.JPG,"달빛쌈지공원, 경상남도 밀양시, 자연공원, 전망대, 전경",경상남도 밀양시,경상남도 밀양시 내일동
